Deck	Title	HP	Keywords	Game Text	Flavor Text	Attribution	Qty	Set	Decks: 12
Absolute Zero	Ice Shield	-	Ongoing	After this card is played, select 1 target. That target is immune to damage. When this card is destroyed, you may draw 1 card and play 1 card. START PHASE Destroy this card.	"You saved a lot of lives today. I know we haven't always seen eye to eye, but you're an absolute hero in my book."	Legacy, America's Finest Legacy #190	2	Core Game	Absolute Zero
Absolute Zero	Isothermic Transducer	-	Item, Limited	After this card is played, you may play 1 card. After Absolute Zero is dealt fire damage, Absolute Zero deals 1 target that much cold damage.	"It flies in the face of the laws of thermodynamics, but I cannot argue -- fire does get all weird around you!"	Tachyon, Freedom Four Annual #7	3	Core Game	Absolute Zero
Absolute Zero	Modular Repair	-	One-Shot	Salvage 1 Item card. You may play 1 card. Absolute Zero deals himself 1 fire damage and 1 cold damage.	"Doc's not gonna love it, but it's this or burn!"	Absolute Zero, Freedom Five #392	3	Core Game	Absolute Zero
Absolute Zero	Null-Point Calibration Unit	-	Item, Limited	After this card is played, you may play 1 card. Whenever Absolute Zero would be dealt cold damage, he regains that much HP instead.	"Cold is all a matter of perspective."	Absolute Zero, Freedom Five #161	3	Core Game	Absolute Zero
Absolute Zero	Still Life	-	Ongoing	After this card is played, select 1 target. That target cannot deal damage. When this card is destroyed, you may draw 1 card and play 1 card. START PHASE Destroy this card.	"Sure, it's not my best work, but you gotta work with what you've got. I'm no Michelangelo over here."	Absolute Zero, Justice Comics #523	2	Core Game	Absolute Zero
Absolute Zero	Thermal Shockwave	-	Ongoing, Limited	POWER: Absolute Zero deals up to 3 targets 1 cold damage each. Then, Absolute Zero deals himself X fire damage, where X is the amount of cold damage dealt by Absolute Zero this turn.	"What's the matter? You boys got cold feet?"	The Wraith, Moonfall #4	2	Core Game	Absolute Zero
The Argent Adept	Akpunku's Drum	-	Item, Instrument	POWER: Activate the ACCOMPANY of 1 Rhythm card. Then, activate the PERFORM of 1 Rhythm card.	"How can this mere mortal counter my despair?!"	Gloomweaver, Nightmist #21	1	Core Game	Argent Adept, The
The Argent Adept	Alacritous Subdominant	-	Ongoing, Harmony	PERFORM 1 Hero may play 1 card. ACCOMPANY You may use 1 power. If you do, put this card on the top of your deck.	"I feel the timbre of your verse flowing through me, shaping this construct like nothing I've ever manifested before!"	Captain Cosmic, Prime Wardens Vol. 1 #116	2	Core Game	Argent Adept, The
The Argent Adept	Arcane Cadence	-	One-Shot	Reveal the top 5 cards of your deck. Draw 1 of them, replace 1, discard 1, bury 1, and play 1.	"I am pulled by magical forces beyond the knowledge of man. Nature, Void, blood... all are my domain!"	The Argent Adept, Virtuoso of the Void Vol. 2 #65	3	Core Game	Argent Adept, The
The Argent Adept	Cedistic Dissonant	-	Ongoing, Harmony	PERFORM Destroy 1 Instrument card. If you do, you may destroy 1 non-character card. ACCOMPANY 1 ally may play 1 card.	"Power for power. Be no more."	The Argent Adept, Nightmist #61	2	Core Game	Argent Adept, The
The Argent Adept	Counterpoint Bulwark	-	Ongoing, Rhythm	PERFORM Select up to 3 targets. Until your START PHASE, -1 damage dealt to those targets. ACCOMPANY Up to 3 Heroes may draw 1 card each.	"She seeks to be your undoing on an ethereal level. Hold fast. You can overcome this curse."	The Argent Adept, Mystery Comics Vol. 2 #302	2	Core Game	Argent Adept, The
The Argent Adept	Drake's Pipes	-	Item, Instrument	POWER: Activate the PERFORM of 1 Melody card. Then, activate the PERFORM of 1 other card.	"With the creation of my own instrument, I become the latest in the line of Virtuosos of the Void: the Argent Adept!"	Anthony Drake, Toll of Destiny #5	1	Core Game	Argent Adept, The
The Argent Adept	Eydisar's Horn	-	Item, Instrument	POWER: Activate the PERFORM of 1 Melody card. Then, activate 1 ACCOMPANY.	"Come forth! Halt your battles in Valhalla and stand strong against these forces of evil!"	The Argent Adept, Absolution #9	1	Core Game	Argent Adept, The
The Argent Adept	Inspiring Supertonic	-	Ongoing, Harmony	PERFORM 1 Hero may use 1 power. ACCOMPANY The Argent Adept regains 2 HP.	"Sing more power into my storm, musical magician! That dread titan won't be able to weather such an onslaught."	Tempest, Prime Wardens Vol. 2 #38	2	Core Game	Argent Adept, The
The Argent Adept	Instrumental Conjuration	-	One-Shot	Summon 1 Instrument card. You may play 1 card.	"Virtuosos of the ages, lend me your strength!"	The Argent Adept, Virtuoso of the Void Vol. 1 #145	4	Core Game	Argent Adept, The
The Argent Adept	Inventive Preparation	-	Ongoing, Rhythm	PERFORM Each Hero reveals the top card of their deck, then replaces it or discards it. Then, 1 Hero may draw 2 cards. ACCOMPANY Discover 1 Ongoing card.	"I hear, I see now. My faith is my strength, but my faith need not endure in solitude. My friends, too, give me strength."	Fanatic, Fanatic Vol. 2 #115	2	Core Game	Argent Adept, The
The Argent Adept	Musaragni's Harp	-	Item, Instrument	POWER: Activate the PERFORM of 1 Harmony card. Then, activate the ACCOMPANY of 1 Harmony card.	"Its strings can play as quietly as a mouse, or as loud as a lion!"	The Argent Adept, Toll of Destiny #2	1	Core Game	Argent Adept, The
The Argent Adept	Polyphonic Flare	-	One-Shot	The Argent Adept deals himself 2 fixed energy damage. Either use 1 power or draw 2 cards.	"So long as your essence persists in any realm, you shall never be free of me!"	Bal'Teranerach, Virtuoso of the Void Vol. 2 #100	3	Core Game	Argent Adept, The
The Argent Adept	Rhapsody of Vigor	-	Ongoing, Melody	PERFORM Up to 5 targets regain 2 HP each.	"Prepare yourselves. The worst is yet to come."	The Argent Adept, Prime Wardens Vol. 1 #1	2	Core Game	Argent Adept, The
The Argent Adept	Sarabande of Destruction	-	Ongoing, Melody	PERFORM Destroy 1 Ongoing card or 1 target with 2 or fewer HP.	"You cannot return! Your base machinations shall fail!"	The Argent Adept, Virtuoso of the Void Vol. 1 #152	2	Core Game	Argent Adept, The
The Argent Adept	Scherzo of Frost and Flame	-	Ongoing, Melody	PERFORM The Argent Adept deals 1 target 2 cold damage. Then, The Argent Adept may deal 1 different target 2 fire damage.	"A touch of the elements to keep foes at bay."	The Argent Adept, Prime Wardens Vol. 2 #17	2	Core Game	Argent Adept, The
The Argent Adept	Silver Shadow	-	One-Shot	Activate 1 ACCOMPANY. You may either draw 1 card or play 1 card.	"Music of the Void, course through my lungs and give life to my refrain! I sing you into creation!"	The Argent Adept, Virtuoso of the Void Vol. 2 #38	3	Core Game	Argent Adept, The
The Argent Adept	Syncopated Onslaught	-	Ongoing, Rhythm	PERFORM Select up to 3 targets. Until your START PHASE, +1 damage dealt by those targets. ACCOMPANY The Argent Adept deals 1 target 1 irreducible sonic damage.	"Ah! It is good to do a haka with such fine accompaniment!"	Haka, The Savage Haka #242	2	Core Game	Argent Adept, The
The Argent Adept	Telamon's Lyra	-	Item, Instrument	POWER: Either activate the PERFORM of 1 Harmony card and activate the ACCOMPANY of 1 Rhythm card, or activate the PERFORM of 1 Rhythm card and activate the ACCOMPANY of 1 Harmony card.	"Back! Begone! I know not how I brought you into this world, but I shall surely send you from it!"	Anthony Drake, Toll of Destiny #3	1	Core Game	Argent Adept, The
The Argent Adept	Vernal Sonata	-	One-Shot	Each Hero target regains 1 HP. Each Hero may put 1 card from their trash on top of their deck.	"Don't get too comfortable. We're not out of the woods yet."	The Argent Adept, Prime Wardens Vol. 2 #29	3	Core Game	Argent Adept, The
The Argent Adept	Xu's Bell	-	Item, Instrument	POWER: Either activate 1 PERFORM or activate the ACCOMPANY of up to 2 different cards.	"Hey, you can't touch that! It's a priceless artifact!"	Dr. Blake Washington, Jr., Toll of Destiny #1	1	Core Game	Argent Adept, The
Bunker	Adhesive Foam Grenade	-	Ongoing	Environment cards cannot be played. START PHASE Destroy this card.	"I was worried when you took a shot at Lady Liberty, soldier, but good work saving the day!"	Legacy, Freedom Four #94	3	Core Game	Bunker
Bunker	Emergency Shielding	-	Item, Limited	When this card is destroyed, Bunker regains 2 HP. REACTION: -2 to the damage Bunker would be dealt. Then, if Bunker is still dealt damage, destroy this card.	"We've got some new damage reduction protocols for you. Could be literally life saving. Can't go losing my best soldier, now can I?"	General Armstrong, Justice Comics #452	3	Core Game	Bunker
Bunker	Expendable Power Bank	-	Item, Limited	PLAY PHASE You may put 1 card from your trash under 1 Ordnance card in play. If you do, put this card under 1 Ordnance card in play. END PHASE Put the top card of your deck under 1 Ordnance card in play.	"Sure, it's a bit of a weak point, but the other alternative is fewer bells and whistles, and we can't have that!"	Bunker, Freedom Five #410	4	Core Game	Bunker
Bunker	Flak Cannon	-	Item, Ordnance, Limited	POWER: Destroy up to 2 cards under this card. Each time you destroy 1 card this way, Bunker deals 1 target 3 projectile damage. START PHASE Put the top card of your deck under this card.	"Not going to climb out of your fancy tin can and give your old squadmate a hug? What, am I below your station?"	Fright Train, Freedom Five #463	2	Core Game	Bunker
Bunker	Gatling Gun	-	Item, Ordnance, Limited	START PHASE Put the top card of your deck under this card. END PHASE Destroy up to 3 cards under this card. Each time you destroy 1 card this way, Bunker deals 1 target 1 projectile damage.	"I provide my own suppressive fire."	Bunker, One Man Army One-Shot	2	Core Game	Bunker
Bunker	Grenade Launcher	-	Item, Ordnance, Limited	POWER: Destroy up to 2 cards under this card. Each time you destroy 1 card this way, Bunker deals 3 targets 2 fire damage each. START PHASE Put the top card of your deck under this card.	"Not letting me draw a bead on you? That's a smart idea, provided I don't have any explosives."	Bunker, Indestructible Bunker #29	2	Core Game	Bunker
Bunker	LIDAR Intel	-	Ongoing	After any non-Hero target is played, you may draw 1 card. POWER: Reveal and replace the top card of 1 deck. Draw 1 card.	"You think you're sneaky, dontcha? I see you..."	Bunker, Justice Comics #617	2	Core Game	Bunker
Bunker	Mounted AP Gun	-	Item, Ordnance, Limited	POWER: Destroy 2 cards under this card. If you do, Bunker deals 1 target 6 irreducible projectile damage. START PHASE Put the top card of your deck under this card.	"Stop all your fretting. They're not getting away."	Bunker, Indestructible Bunker #154	2	Core Game	Bunker
Bunker	Omni-Cannon	-	Item, Ordnance	POWER: Destroy all cards under this card. Bunker deals 1 target X energy damage, where X is the number of cards destroyed this way times 2. START PHASE Put the top card of your deck under this card.	"Scrambling antimatter particles in a graviton launcher controls and directs a steady stream of hyper-excited leptons. Translation: Big gun go boom."	Tachyon, Freedom Five #571	1	Core Game	Bunker
Bunker	Piston Punch	-	One-Shot	Bunker deals 1 target 3 melee damage. If that damage destroys a target, put this card under 1 Ordnance card in play.	"Ooh, look at the big army man and his fancy suit built for combat instead of just making sure he doesn't die."	Absolute Zero, Freedom Five #323	4	Core Game	Bunker
Bunker	Recharge Mode	-	Ongoing, Mode, Limited	You cannot use powers. START PHASE Destroy this card. DRAW PHASE You may draw 4 additional cards. END PHASE Put any number of cards from hand under any Ordnance cards in play.	"It's a fine plan, and I'm all for it. But I'm going to need a lot more power."	Bunker, Freedom Five #369	4	Core Game	Bunker
Bunker	Tactical Command	-	One-Shot	1 ally uses 1 power. Damage dealt by that ally with that power is irreducible.	"He doesn't often speak up, but when he does, it's well worth listening."	The Wraith, Freedom Five Annual #13	3	Core Game	Bunker
Bunker	Turret Mode	-	Ongoing, Mode, Limited	+1 damage dealt by Bunker. START PHASE Destroy this card. POWER PHASE You may use 2 additional powers this phase.	BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA BUDDABUDDABUDDABUDDABUDDABUDDA	BUDDABUDDABUDDA	4	Core Game	Bunker
Bunker	Upgrade Mode	-	Ongoing, Mode, Limited	After this card is played, summon 1 Item card. You cannot use powers. START PHASE Destroy this card. END PHASE Play up to 2 cards.	"No, it's not like driving a car. OK, it's like driving a car blindfolded with shoes on your hands and also you're late."	Bunker, Freedom Five #370	4	Core Game	Bunker
Captain Cosmic	Augmented Ally	4	Construct	Play this card next to a Hero character. POWER PHASE This Hero may discard 1 card. If they do, they may use 1 additional power this phase.	"I am used to fighting with you, my friend, but not with me as well!"	Haka, Prime Wardens Vol. 1 #74	3	Core Game	Captain Cosmic
Captain Cosmic	Autonomous Blade	4	Construct	Play this card next to a Hero target. After that target deals damage for the first time each turn, this card deals 1 target 2 energy damage.	"Stand and fight or give up now! You cannot escape justice."	Captain Cosmic, Prime Wardens Vol. 2 #39	3	Core Game	Captain Cosmic
Captain Cosmic	Conservation of Energy	-	Ongoing	After any Construct card is destroyed, you may draw 1 card. START PHASE You may play 1 Construct card from your trash. If you do, destroy this card.	"Your command over the energy... the stability of your creations... I make up the difference with raw power!"	Infinitor, Conflux #2	3	Core Game	Captain Cosmic
Captain Cosmic	Construct Cataclysm	-	One-Shot	Destroy any number of Construct cards. Captain Cosmic either deals 1 target X irreducible energy damage, or deals up to X targets 3 energy damage each, where X is the number of Construct cards in your trash.	"Er, heads up, chaps. Getting a little extra showy here."	Captain Cosmic, Cosmic Tales Vol. 2 #431	2	Core Game	Captain Cosmic
Captain Cosmic	Cosmic Crest	4	Construct, Limited	-1 damage dealt to Captain Cosmic. POWER: Play or discover 1 Construct card.	"Who put me in charge? No one. But someone must stand for the world."	Captain Cosmic, Prime Wardens Vol. 1 #116	2	Core Game	Captain Cosmic
Captain Cosmic	Cosmic Weapon	4	Construct	Play this card next to a Hero character. They gain this power: POWER: This Hero deals 1 target 3 energy damage.	"This temporary blade will last longer than the foes we face!"	Fanatic, Prime Wardens Vol. 2 #58	3	Core Game	Captain Cosmic
Captain Cosmic	Destructive Response	-	Ongoing, Limited	After any Construct card is destroyed, Captain Cosmic deals up to 3 targets 1 energy damage each.	"Certainly are a lot of you... well, come and get me."	Captain Cosmic, Cosmic Tales Vol. 2 #232	2	Core Game	Captain Cosmic
Captain Cosmic	Dynamic Siphon	4	Construct	Play this card next to a Hero character. They gain this reaction: REACTION: Use 1 power.	"A duet? We will play the anthems of the heavens!"	The Argent Adept, Prime Wardens Vol. 1 #39	3	Core Game	Captain Cosmic
Captain Cosmic	Energy Bracer	4	Construct	Play this card next to a Hero target. -1 damage dealt to that Hero target.	"I will not fight for their homeworld, but I will fight for the good of the galaxy."	Tempest, Thorathian War One-Shot	3	Core Game	Captain Cosmic
Captain Cosmic	Harsh Offense	-	One-Shot	Captain Cosmic deals 1 target 3 energy damage. If that target is still in play, draw 2 cards.	"You bring out the worst in me. I shall return the favor."	Captain Cosmic, Cosmic Tales Vol. 2 #36	3	Core Game	Captain Cosmic
Captain Cosmic	Heart of Gold	-	Ongoing, Limited	POWER: Discard up to 3 cards. 1 Hero draws up to X cards. You may play up to X Construct cards. X is the number of cards you discarded this phase.	"I just really need someone to help me here. There has to be some justice in the galaxy, right?"	Galactra, Cosmic Tales Vol. 1 #180	2	Core Game	Captain Cosmic
Captain Cosmic	Potent Disruption	-	One-Shot	Destroy 1 Construct card. If you do, Captain Cosmic deals 1 target 5 irreducible energy damage.	"You foolish Earthling! You will fall before the might of EYEYYEYYEAYEYAYAEERRGHH!!"	Empyreon, Cosmic Concurrence #15	2	Core Game	Captain Cosmic
Captain Cosmic	Unflagging Animation	-	Ongoing, Limited	-1 damage dealt to Construct cards. START PHASE Either discard 1 card or destroy this card. END PHASE The Construct card with the lowest HP regains 2 HP.	"I know little of your people, but I understand fear, and innocent lives in danger. I will keep you safe. I swear it."	Captain Cosmic, Prime Wardens Vol. 2 #27	3	Core Game	Captain Cosmic
Captain Cosmic	Vitality Conduit	4	Construct	Play this card next to a Hero target. START PHASE That target regains 2 HP.	"Careful, m'dear! I know you're quite capable, but that fellow looks rather intent on your destruction!"	Captain Cosmic, Cosmic Concurrence #7	3	Core Game	Captain Cosmic
Captain Cosmic	Wounding Buffer	4	Construct	Play this card next to a Hero character. They gain this reaction: REACTION: This card deals the attacker 3 energy damage.	"Order! Order! I demand you stop all this nonsense at once! I was attempting to have a real trial here!"	Judge Mental, Justice Comics #543	3	Core Game	Captain Cosmic
Fanatic	Absolution	-	Item, Relic, Limited	POWER: Fanatic deals 1 target 3 melee damage. Then, if Fanatic is at 10 or fewer HP, Fanatic deals 1 target 2 fire damage and 2 radiant damage.	"Absolution you are called, and absolution you shall deliver."	Fanatic, Absolution #1	2	Core Game	Fanatic
Fanatic	Aegis of Resurrection	-	Item, Relic, Limited	When Fanatic would be reduced to 0 HP, prevent that damage and destroy this card. When this card is destroyed, Fanatic regains 10 HP.	"No mere mortal wound can destroy the form of God's chosen."	Fanatic, Absolution #10	2	Core Game	Fanatic
Fanatic	Anoint Allies	-	Ongoing	+1 damage dealt by your allies. If Fanatic has 10 or fewer HP, +1 damage dealt by Fanatic. START PHASE Either destroy this card or Fanatic deals herself 3 fixed psychic damage.	"The faith practices of you humans are so unlike those of Maerynians, yet I still appreciate your blessing."	Tempest, Prime Wardens Vol. 1 #87	2	Core Game	Fanatic
Fanatic	Brutal Censure	-	Ongoing	After this card is played, select a non-character target. That card has no game text. START PHASE Either destroy this card or Fanatic deals herself 3 fixed psychic damage.	"Know the error of thine ways."	Fanatic, Absolution #6	2	Core Game	Fanatic
Fanatic	Consecrated Ground	-	One-Shot	Destroy 1 Ongoing card. Fanatic deals up to 3 targets 1 radiant damage each.	"Your dark rituals have no sway in this holy place."	Fanatic, Fanatic Vol. 1 #5	3	Core Game	Fanatic
Fanatic	Divine Sacrifice	-	One-Shot	Fanatic deals herself up to 3 radiant damage. Fanatic deals X targets 3 radiant damage each, where X is the amount of damage dealt to Fanatic this turn.	"Face me and tremble!"	Fanatic, Mystery Comics Vol. 2 #369	2	Core Game	Fanatic
Fanatic	End of Days	-	Ongoing	START PHASE Destroy all cards other than this card, character cards, and Relic cards. Then, destroy this card.	"The blight upon this land be cleansed!"	Fanatic, Absolution #9	2	Core Game	Fanatic
Fanatic	Final Dive	-	One-Shot	Destroy 1 non-character target with 4 or fewer HP. Fanatic deals 1 target X projectile damage, where X is the destroyed target's HP before it was destroyed.	"Meet thy maker."	Fanatic, Tome of the Bizarre Vol. 3 #9	3	Core Game	Fanatic
Fanatic	Holy Nova	-	One-Shot	Fanatic deals each non-Hero target 1 radiant damage. Each Hero target regains 1 HP. Then, if Fanatic has 10 or fewer HP, Fanatic deals up to 3 targets 2 radiant damage each.	"You can hide in the sun 'til you see the light."	Apostate, Mystery Comics Vol. 2 #366	3	Core Game	Fanatic
Fanatic	Prayer of Desperation	-	One-Shot	Reveal the top 4 cards of your deck. Put any Item or Ongoing cards revealed this way in your hand. Discard the other revealed cards. Then, if Fanatic has 10 or fewer HP, play up to 2 cards.	"Let this not be the last breath your servant draws."	Fanatic, Prime Wardens Vol. 1 #152	4	Core Game	Fanatic
Fanatic	Righteous Rebuke	-	Ongoing, Limited	POWER: Fanatic deals 1 target 2 radiant damage. Then, if Fanatic has 10 or fewer HP, Fanatic deals up to 3 targets 2 radiant damage each and regains 2 HP.	"The prayers and rituals of believer have ne'er wracked my body with such pain before!"	Blood Countess, Fanatic Vol. 1 #9	2	Core Game	Fanatic
Fanatic	Rosary of the Mysteries	-	Item, Relic, Limited	POWER: Shuffle your trash into your deck. Discard 5 cards. Draw 5 cards. Then, if Fanatic has 10 or fewer HP, Fanatic regains up to 5 HP.	"Ah! Connecting to a spiritual realm using an artifact of power! Not much of a musical instrument though."	The Argent Adept, Prime Wardens Vol. 1 #129	2	Core Game	Fanatic
Fanatic	Sacrosanct Martyr	-	Ongoing, Limited	POWER: Fanatic deals herself up to 3 radiant damage. Fanatic deals 1 target X radiant damage, where X is the amount of damage dealt to Fanatic this turn.	"What you call a sacrifice, I consider a necessity."	Fanatic, Mystery Comics Vol. 1 #338	2	Core Game	Fanatic
Fanatic	Sanctifying Strike	-	One-Shot	Fanatic deals 1 target 2 melee damage. Draw 1 card. Fanatic regains 2 HP.	"The evil influence of this man has been lessened. The wounds he caused can begin to heal."	Haka, Prime Wardens Vol. 1 #179	3	Core Game	Fanatic
Fanatic	Smite the Transgressor	-	One-Shot	Fanatic deals 1 target 2 melee damage. Then, if Fanatic has 10 or fewer HP, use up to 2 powers.	"I am usually one to call for restraint, but now is hardly one of those times."	Captain Cosmic, Prime Wardens Vol. 2 #58	3	Core Game	Fanatic
Fanatic	Undaunted	-	Ongoing, Limited	Whenever exactly 1 damage would be dealt to Fanatic, -1 to that damage. If Fanatic has 10 or fewer HP and would be dealt 5 or more damage, -3 to that damage.	"You took on nine gods by yourself. Will you not even take a moment to rest?!"	Ra, Baptism By Fire #5	2	Core Game	Fanatic
Fanatic	Wrathful Retribution	-	Ongoing	START PHASE Fanatic deals 1 target X radiant damage, where X is Fanatic's maximum HP minus her current HP. Then, bury this card.	"You have been judged and found sorely wanting. Perish!"	Fanatic, Absolution #10	1	Core Game	Fanatic
Haka	Dance in the Fray	-	Ongoing, Limited	After any of your Ongoing cards are destroyed, Haka deals 1 target 2 melee damage. POWER: Draw 1 card. Play 1 card.	"His boundless energy... almost as if he draws strength and vitality from beyond his own realm."	La Capitan, The Savage Haka #268	3	Core Game	Haka
Haka	Haka of Battle	-	Ongoing, Haka	+1 damage dealt by Haka. START PHASE Discard any number of cards. Haka deals 1 target X melee damage, where X is the number of cards discarded this way plus 2. Then, destroy this card.	"Ka mate ka mate! Ka ora' ka ora'! Ka mate ka mate! Ka ora' ka ora'!"	Haka, Prime Wardens Vol. 1 #97	4	Core Game	Haka
Haka	Haka of Frenzy	-	Ongoing, Haka	Damage dealt by Haka is irreducible. START PHASE Discard any number of cards. Haka deals X targets 3 melee damage each, where X is the number of cards discarded this way plus 1. Then, destroy this card.	"Some prepare for battle in quiet contemplation or prayer. Aata finds his strength in exultant expression."	Tempest, Prime Wardens Vol. 1 #1	4	Core Game	Haka
Haka	Haka of Recovery	-	Ongoing, Haka	-1 damage dealt to Haka. START PHASE Discard any number of cards. Haka regains X HP, where X is the number of cards discarded this way times 2. Then, destroy this card.	"I know not how you do what you do, my friend, but I cannot deny the power in your songs and chants."	The Argent Adept, Prime Wardens Vol. 1 #14	4	Core Game	Haka
Haka	Knock Heads	-	Ongoing	After this card is played, Haka deals up to 2 targets 2 melee damage each. -1 damage dealt by those targets. START PHASE Destroy this card.	"I could have sworn he was right here. How could such a huge man have escaped my sight?"	Desert Eagle, Freedom Five Annual #11	3	Core Game	Haka
Haka	Mere	-	Item, Limited	POWER: Haka deals 1 target 3 melee damage. Draw 1 card.	"This club is as much me as my fist or my leg. Let me show you!"	Haka, Battle Unending #1	3	Core Game	Haka
Haka	Rampage	-	One-Shot	Haka deals each non-Hero target 5 melee damage and each Hero target 2 melee damage. Whenever Haka destroys a target with this damage, draw 1 card.	"I share no love for these robotic nuisances... but that was a bit much."	Ra, Singularity #5	3	Core Game	Haka
Haka	Sudden Utu	-	Ongoing, Limited	REACTION: Haka deals the attacker 2 melee damage.	"You are not nearly as fearsome as your namesake."	Haka, Battle Unending #8	2	Core Game	Haka
Haka	Surge of Ihi	-	One-Shot	Haka deals 1 target 2 melee damage. Draw 2 cards.	"True might comes from faith. I cannot ignore your strength, large man. But do not think it enough!"	Fanatic, Tome of the Bizarre Vol. 2 #200	3	Core Game	Haka
Haka	Ta Moko	-	Ongoing, Limited	-1 damage dealt to Haka. DRAW PHASE You may draw 1 additional card this phase.	"These markings I wear on my face? I did them myself. With a sharp stick and snake venom. Your threats mean nothing to me."	Haka, Arcane Tales Vol. 1 #14	3	Core Game	Haka
Haka	Taiaha	-	Item, Limited	POWER: Haka deal up to 2 targets 3 melee damage each. START PHASE You may destroy 1 Ongoing card. If you do, destroy this card.	"Using the taiaha is all about balance. It also helps to be stronger than everyone else."	Haka, The Savage Haka #1	3	Core Game	Haka
Haka	Taonga Mana	-	Ongoing, Limited	After Haka destroys any non-Hero target, draw 1 card. START PHASE You may draw 3 cards. If you do, destroy this card.	"I have oft remarked upon your 'gentle giant' nature. I appreciate your ability to drop the 'gentle' part, at times."	Captain Cosmic, Prime Wardens Vol. 1 #160	2	Core Game	Haka
Haka	Tiaki Defender	-	Ongoing, Limited	Whenever an ally would be dealt damage by a non-Hero target, you may redirect that damage to Haka. START PHASE Destroy this card.	"You've always inspired me to be a better hero. And now I owe you my life as well. Thank you, old friend."	Legacy, Vengeance #5	3	Core Game	Haka
Legacy	Bolster Allies	-	One-Shot	Each Hero draws 1 card. 1 Hero other than you plays 1 card.	"We fight this day... for freedom!"	Legacy, Freedom Five Annual #8	3	Core Game	Legacy
Legacy	Bulletproof Skin	-	Ongoing, Limited	-1 damage dealt to Legacy.	"He told me everything would be fine as the gunmen opened fire. And the bullets just ricocheted right off him!"	An Innocent Bystander, Freedom Four #89	4	Core Game	Legacy
Legacy	Danger Sense	-	Ongoing, Limited	Legacy is immune to damage dealt by Environment targets. POWER: Bury 1 Environment target in play. Destroy this card.	"Too close! Too close for comfort."	Legacy, Justice Comics #98	2	Core Game	Legacy
Legacy	Dauntless Durability	-	Ongoing, Limited	Whenever Legacy would be dealt 5 or more damage, prevent that damage and destroy this card. When this card is destroyed, Legacy regains 2 HP.	"You have crushed and despoiled your way across the galaxy, but the people of Earth will not be so easily broken!"	Legacy, Justice Comics #261	3	Core Game	Legacy
