Variant	Deck	Keywords	HP	Nemesis Icon	Innate Power		Extra Text	Incapacitated				Set	Complexity	
Base	Fanatic	Hero	30	[Fanatic]	Exorcism	POWER: Fanatic deals 1 target 1 melee damage and 1 radiant damage. Fanatic deals herself 1 fixed psychic damage.		Undying Fervor	1 Hero takes their PLAY PHASE.	1 Hero target regains 2 HP.	1 Hero target may deal itself 2 fixed psychic damage. If it does, it deals 1 target 4 radiant damage.	Core Game	5	Fanatic 1
First Appearance	Fanatic	Hero	29	[Fanatic]	Divine Demand	POWER: Fanatic deals herself 2 fixed psychic damage. Discover 1 Relic card.		Tenuous Faith	1 Hero takes their POWER PHASE.	Destroy 1 Ongoing card.	1 Hero discovers 1 Ongoing card.	Core Game	-	Fanatic 2
Haunted	Fanatic	Hero	10	[Fanatic]	Wholly Unholy	POWER: Summon 1 Relic card. Fanatic deals herself and 1 other target 1 fixed infernal damage each.		Unfinished Business	1 Hero takes their POWER PHASE.	Each Hero draws 1 card.	Each Hero discards 1 card and deals themself 1 fixed infernal damage. Return all of Fanatic’s deck to the game. Shuffle it and draw 4 cards. Replace this card with another Fanatic character card, active side up, restoring it to 15 HP, and end your turn.	Rook City Renegades	-	Fanatic 3
Base	Haka	Hero	34	Ambuscade	Riri	POWER: Haka deals 1 target 2 melee damage.		Defender to the Last	1 Hero takes their PLAY PHASE.	1 Hero takes their DRAW PHASE.	Until your START PHASE, -1 damage dealt to Hero targets.	Core Game	4	Haka 1
First Appearance	Haka	Hero	32	Ambuscade	Aranga	POWER: Destroy 1 target with 3 or fewer HP. Haka regains 3 HP.		Indomitable	1 Hero takes their POWER PHASE.	1 Hero salvages 1 Ongoing card.	Bury 1 Environment target with 4 or fewer HP.	Core Game	-	Haka 2
Werewolf	Haka	Hero, Werewolf	33	Ambuscade	The Mightiest	POWER: If Haka is the Hero target with the highest HP, draw 3 cards. Otherwise, summon 1 Haka card.		Lost to the Hunt	1 Hero takes their POWER PHASE.	Destroy 1 Environment card.	Destroy 1 target with 3 or fewer HP.	Rook City Renegades	-	Haka 3
Base	The Harpy	Hero	29	The Dagda / The Morrigan	Seeking Order	POWER: The Harpy deals 1 target 1 infernal damage. Either draw 2 cards or destroy 1 Flock card.		The Final Mockery	1 Hero takes their POWER PHASE.	Destroy up to 3 targets with 1 HP each.	Until your START PHASE, -1 damage dealt to all targets.	Rook City Renegades	9	Harpy, The 1
First Appearance	The Harpy	Hero	26	The Dagda / The Morrigan	Flailing Chaos	POWER: The Harpy deals 1 target 2 infernal damage. Play the top card of your deck.		Chaos Unmasked	1 Hero takes their PLAY PHASE.	Discover 1 target from 1 deck.	Bury the top card of each trash.	Rook City Renegades	-	Harpy, The 2
Dark Watch	The Harpy	Hero	27	The Dagda / The Morrigan	Nevermore	POWER: Discard 1 card. Summon 1 Cohort card. You may discover 1 Flock card.		Recompense	1 Hero takes their POWER PHASE.	Bury 1 Environment card.	Move 1 card from 1 Hero trash to the top of that Hero's deck.	Rook City Renegades	-	Harpy, The 3
Blood Raven	The Harpy	Hero	24	The Dagda / The Morrigan	Life Witch	POWER: The Harpy deals 1 target 3 infernal damage. The Harpy regains 2 HP. Destroy 1 Hero Ongoing card.		Flee Temptation	1 Hero takes their POWER PHASE.	Bury 1 Environment card.	1 target deals itself 1 infernal damage. If a target is destroyed by that damage, each Hero target regains 1 HP.	Rook City Renegades	-	Harpy, The 4
Base	Legacy	Hero	32	Baron Blade / Mad Bomber Baron Blade	Galvanize	POWER: Until your START PHASE, +1 damage dealt by ally characters.		A Legacy Lost	1 Hero takes their POWER PHASE.	1 Hero discovers 1 Ongoing card.	Until your START PHASE, -2 damage dealt by Environment targets.	Core Game	2	Legacy 1
First Appearance	Legacy	Hero	31	Baron Blade / Mad Bomber Baron Blade	Protector	POWER: Until your START PHASE, -1 damage dealt to ally characters.		End of a Legacy?	1 Hero takes their PLAY PHASE.	Each Hero target regains 1 HP.	1 Hero salvages 1 Ongoing card.	Core Game	-	Legacy 2
Base	Mr. Fixer	Hero	29	The Chairman / The Operative / The True Form / Zhu Long	Strike	POWER: Mr. Fixer deals 1 target 2 melee damage. You may collect 1 Tool card.		Finally, Peace?	1 Hero takes their PLAY PHASE.	1 Hero discovers 1 Ongoing card.	Put the top card from 1 Hero's trash into that Hero's hand.	Rook City Renegades	5	Mister Fixer 1
First Appearance	Mr. Fixer	Hero	28	The Chairman / The Operative / The True Form / Zhu Long	Sifu Strike	POWER: Mr. Fixer deals 1 target 1 melee damage. 1 ally Hero draws 2 cards.		Best of Intentions	1 Hero takes their PLAY PHASE.	Destroy 1 Ongoing card.	Up to 3 Hero targets regain 1 HP each.	Rook City Renegades	-	Mister Fixer 2
Dark Watch	Mr. Fixer	Hero	30	The Chairman / The Operative / The True Form / Zhu Long	Bitter Strike	POWER: Mr. Fixer deals 1 target 3 melee damage. Either discard 1 card or destroy 1 Hero Ongoing or Item card.		Heartless	1 Hero takes their POWER PHASE.	1 Hero takes their DRAW PHASE.	Bury up to 3 cards from 1 trash.	Rook City Renegades	-	Mister Fixer 3
Black Fist	Mr. Fixer	Hero	27	The Chairman / The Operative / The True Form / Zhu Long	Dynamite Strike	POWER: You may summon 1 Style card. Mr. Fixer deals 1 target 2 melee damage.		Slim's Start	1 Hero takes their PLAY PHASE.	1 Hero discovers 1 Item card.	Bury 1 Hero Ongoing or Item card. If you do, each Hero draws 2 cards.	Rook City Renegades	-	Mister Fixer 4
Base	NightMist	Hero	26	GloomWeaver	Incantation	POWER: Discard 1 card. Either draw 2 cards or play 1 Spell card.	/-\ = the /#\ on the top card of your trash	Scream Into the Void	1 Hero takes their POWER PHASE.	Destroy 1 Ongoing card.	Discard the top card of 1 deck. If the discarded card is a target, 1 target deals itself fixed infernal damage equal to the HP of the discarded card.	Rook City Renegades	7	NightMist 1
First Appearance	NightMist	Hero	27	GloomWeaver	Raw Power	POWER: Discard the top card of your deck. NightMist deals 1 target /-\ infernal damage.	/-\ = the /#\ on the top card of your trash	Mist Opportunities	1 Hero takes their PLAY PHASE.	Shuffle 1 trash into its deck.	1 target regains 1 HP. Then, if that target is at its max HP, that target deals 1 target 1 infernal damage.	Rook City Renegades	-	NightMist 1
Dark Watch	NightMist	Hero	25	GloomWeaver	Void Mage	POWER: Reveal the bottom card of your deck. Play it, draw it, or discard it.	/-\ = the /#\ on the top card of your trash	Familial Failure	1 Hero takes their POWER PHASE.	Up to 3 Hero targets regain 1 HP each.	Switch the bottom and top card of 1 deck.	Rook City Renegades	-	NightMist 3
Mentor	NightMist	Hero	28	GloomWeaver	Magical Mentor	POWER: Select 1 Hero character. Until your START PHASE, each time that target deals damage, make it +1 or -3.	/-\ = the /#\ on the top card of your trash	One With the Mists	1 Hero takes their PLAY PHASE.	1 Hero discovers 1 Relic card.	Each Hero draws 1 card. 1 Hero discards 2 cards.	Rook City Renegades	-	NightMist 4
Base	Ra	Hero	30	[Ra]	Pyre	POWER: Ra deals 1 target 2 fire damage.		No True God	1 Hero takes their POWER PHASE.	Destroy 1 target with 2 or fewer HP.	Bury 1 Environment card.	Core Game	1	Ra 1
First Appearance	Ra	Hero	29	[Ra]	Rekindle	POWER: Ra deals 1 target 1 fire damage. Either salvage 1 Ongoing card or play 1 card.		Empowered No More	1 Hero takes their PLAY PHASE.	Destroy 1 Ongoing card.	1 target deals itself 1 fire damage.	Core Game	-	Ra 2
Backdraft	Ra	Hero	31	[Ra]	Fight Fire with Fire	POWER: Ra deals 4 targets 1 fire damage each. 1 Hero may draw 1 card.		Burning Regret	1 Hero takes their PLAY PHASE.	1 Hero target regains 2 HP.	1 Hero discards 2 cards and draws 2 cards.	Rook City Renegades	-	Ra 3
Base	Setback	Hero	30	Kismet	Risk	POWER: Play the top card of your deck.		Hands Down	1 Hero takes their DRAW PHASE.	1 Hero target regains 2 HP.	Reveal the top card of 1 Hero deck. Either bury it or play it.	Rook City Renegades	6	Setback 1
First Appearance	Setback	Hero	31	Kismet	Ace in the Hole	POWER: The Villain target with the highest HP deals Setback 2 energy damage. Collect 1 One-Shot card.		Stuck Out	1 Hero takes their PLAY PHASE.	Bury 1 Ongoing card.	Up to 3 Heroes each draw 1 card and discard 1 card.	Rook City Renegades	-	Setback 2
Dark Watch	Setback	Hero	32	Kismet	Mitigate	POWER: Destroy 1 Unlucky card. Either draw 1 card or play 1 card.		Riske's Reward	1 Hero takes their POWER PHASE.	1 target deals itself 1 psychic damage.	Reveal the top card of 1 deck. Either discard it or bury it.	Rook City Renegades	-	Setback 3
Fey-Cursed	Setback	Hero	27	Kismet	Double Down	POWER: Discover 2 Unlucky cards. Destroy 1 Unlucky card.		Last Luck Lost	1 Hero takes their POWER PHASE.	1 Hero discovers 1 One-Shot card.	Discard the top card of each deck.	Rook City Renegades	-	Setback 4
Base	Tachyon	Hero	27	The Matriarch / The Mocktriarch	Testing	POWER: Reveal the top card of your deck. Draw it or discard it.		Frozen by Fear!	1 Hero takes their PLAY PHASE.	1 Hero collects 1 One-Shot card.	1 Hero salvages 1 Item card.	Core Game	3	Tachyon 1
First Appearance	Tachyon	Hero	26	The Matriarch / The Mocktriarch	Fast Friend	POWER: 1 Hero may draw 1 card. If that Hero is not Tachyon, you may play 1 card.		Forced Slowdown	1 Hero takes their DRAW PHASE.	Destroy 1 Ongoing card.	1 Hero regains 2 HP.	Core Game	-	Tachyon 2
Base	Tempest	Hero	26	Grand Warlord Voss	Squall	POWER: Tempest deals each non-Hero target 1 projectile damage.		Gene Bound Failure	1 Hero takes their POWER PHASE.	1 Hero salvages 1 Ongoing card.	Select 1 damage type. Until your START PHASE, -1 damage dealt of that type to hero targets.	Core Game	6	Tempest 1
First Appearance	Tempest	Hero	25	Grand Warlord Voss	Surviving Stranger	POWER: Destroy 1 Weather card. Play the top card of your deck.		Persecuted Refugee	1 Hero takes their PLAY PHASE.	1 Hero salvages 1 Item card.	Discard the top card of each deck. You may bury 1 target card discarded this way.	Core Game	-	Tempest 2
Base	Unity	Hero	26	[Unity]	Bot Hack	POWER: Destroy 1 Item card. If you do, play or discover 1 Mechanical Golem.		Incapable Creator	1 Hero takes their PLAY PHASE.	1 Hero salvages 1 Item card.	The Hero target with the lowest HP regains 3 HP.	Core Game	6	Unity 1
First Appearance	Unity	Hero	24	[Unity]	Sparks!	POWER: Unity deals 1 target 1 lightning damage. Play the top card of your deck.		Not-Tastic...	1 Hero takes their POWER PHASE.	1 Hero takes their DRAW PHASE.	1 Hero discovers 1 Item card.	Core Game	-	Unity 2
Scavenger	Unity	Hero	23	[Unity]	One Man's Trash	POWER: You may play 1 Mechanical Golem card or Item card from your trash. If you do not, draw 2 cards and discard 1 card.		All Tinkered Out	1 Hero takes their POWER PHASE.	Reveal and replace the top card of 1 non-Hero deck.	Destroy 1 target with 2 or fewer HP.	Rook City Renegades	-	Unity 3
Base	The Wraith	Hero	26	Spite	Stealth	POWER: Until your START PHASE, -1 damage to The Wraith.		Will Crime Prevail?	1 Hero takes their PLAY PHASE.	Destroy 1 Ongoing card.	1 Hero target regains 2 HP.	Core Game	4	Wraith, The 1
First Appearance	The Wraith	Hero	25	Spite	Haunt the Shadows	POWER: Reveal and replace the top card of the Villain deck. If it is a target, discover 1 Item card. Otherwise, draw 1 card.		A Felonious Foe!	1 Hero takes their DRAW PHASE.	1 Hero summons 1 Item card.	Bury 1 Villain target with 2 or fewer HP.	Core Game	-	Wraith, The 2
Detective	The Wraith	Hero	24	Spite	Sleuth	POWER: Reveal the top card of 1 deck. You may replace that card, bury that card, or play that card.		Some Stones Better Left Unturned	1 Hero takes their DRAW PHASE.	Discard the top of 1 deck.	Discover 1 target from the Villain deck. Set that target to 1 HP.	Rook City Renegades	-	Wraith, The 3
